Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,Miranda
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Miranda\CROWD_DR1_Run2.dux
Date Acquired:,,,"November 23, 2016 9:55 AM"

Analytical Wavelength:,,,260.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,1.0 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,90.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Off
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 260.0 nm
  
Temp,,Cell 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
(°C),,Abs,,Abs,,Abs,,Abs
 ,, ,, ,, ,, 
11.6000,,-0.0008,,0.7664,,0.9199,,0.6440
11.9000,,-0.0006,,0.7679,,0.9211,,0.6447
12.4000,,-0.0007,,0.7693,,0.9228,,0.6460
12.8000,,-0.0006,,0.7705,,0.9246,,0.6465
13.3000,,-0.0005,,0.7720,,0.9261,,0.6476
13.7000,,-0.0004,,0.7732,,0.9284,,0.6487
14.2000,,-0.0005,,0.7751,,0.9308,,0.6493
14.7000,,-0.0004,,0.7765,,0.9317,,0.6507
15.1000,,-0.0003,,0.7784,,0.9335,,0.6510
15.6000,,-0.0003,,0.7801,,0.9356,,0.6531
16.0000,,-0.0003,,0.7816,,0.9380,,0.6534
16.5000,,-0.0004,,0.7833,,0.9396,,0.6546
17.0000,,-0.0004,,0.7854,,0.9414,,0.6554
17.4000,,-0.0002,,0.7867,,0.9432,,0.6575
17.9000,,-0.0002,,0.7886,,0.9460,,0.6588
18.4000,,-0.0001,,0.7906,,0.9479,,0.6602
18.9000,,-0.0000,,0.7927,,0.9503,,0.6618
19.3000,,-0.0001,,0.7943,,0.9525,,0.6641
19.8000,,-0.0000,,0.7964,,0.9550,,0.6657
20.2000,,-0.0002,,0.7984,,0.9573,,0.6665
20.7000,,-0.0001,,0.8006,,0.9601,,0.6684
21.2000,,0.0000,,0.8028,,0.9624,,0.6709
21.6000,,0.0000,,0.8048,,0.9659,,0.6730
22.1000,,0.0001,,0.8073,,0.9692,,0.6755
22.4000,,0.0001,,0.8098,,0.9718,,0.6778
23.0000,,0.0001,,0.8127,,0.9757,,0.6808
23.5000,,0.0002,,0.8148,,0.9784,,0.6835
24.0000,,0.0002,,0.8175,,0.9827,,0.6866
24.5000,,0.0003,,0.8196,,0.9868,,0.6897
25.0000,,0.0003,,0.8221,,0.9909,,0.6933
25.5000,,0.0003,,0.8249,,0.9953,,0.6969
25.9000,,0.0004,,0.8273,,0.9995,,0.7004
26.3000,,0.0005,,0.8299,,1.0041,,0.7032
26.8000,,0.0005,,0.8325,,1.0090,,0.7069
27.2000,,0.0005,,0.8349,,1.0130,,0.7098
27.6000,,0.0005,,0.8380,,1.0177,,0.7138
28.1000,,0.0005,,0.8411,,1.0236,,0.7176
28.6000,,0.0005,,0.8448,,1.0303,,0.7222
28.9000,,0.0005,,0.8477,,1.0356,,0.7257
29.5000,,0.0005,,0.8527,,1.0428,,0.7304
30.0000,,0.0007,,0.8577,,1.0510,,0.7355
30.5000,,0.0008,,0.8623,,1.0574,,0.7399
30.9000,,0.0007,,0.8666,,1.0650,,0.7441
31.4000,,0.0008,,0.8715,,1.0724,,0.7486
31.9000,,0.0008,,0.8781,,1.0807,,0.7537
32.5000,,0.0009,,0.8845,,1.0901,,0.7579
32.9000,,0.0012,,0.8907,,1.0979,,0.7615
33.4000,,0.0011,,0.8967,,1.1063,,0.7656
33.9000,,0.0011,,0.9031,,1.1153,,0.7691
34.4000,,0.0011,,0.9113,,1.1250,,0.7726
34.9000,,0.0012,,0.9182,,1.1326,,0.7755
35.4000,,0.0013,,0.9264,,1.1407,,0.7786
35.8000,,0.0014,,0.9332,,1.1480,,0.7816
36.3000,,0.0014,,0.9417,,1.1565,,0.7839
36.8000,,0.0016,,0.9500,,1.1641,,0.7861
